"wikidata","label"
"Q109974393","Breathing Together: Revolution Of The Electric Family (Markson, 1970)"
"Q122661809","Co-Co Puffs (Wohl, 1972)"
"Q122811225","Family (Smith, 1971)"
"Q2266061","Fata Morgana (Herzog, 1970)"
"Q116144","Free Radicals (Lye, 1957)"
"Q4139699","Glen And Randa (McBride, 1971)"
"Q913311","A Hard Day's Night (Lester, 1964)"
"Q64995744","Lapis (Whitney, 1966)"
"Q122811224","Lightning Waterfall Fern Soup (Kennedy, 1971)"
"Q25409880","Paradise Now (Rachlin, 1970)"
"Q122811208","Nebula Ii (Frerck, 1971)"
"Q122661771","Samadhi (Belson, 1968)"
"Q122661776","This Is It (Broughton, 1971)"
"Q122830602","Self-Obliteration (Yalkut, 1967)"
